budget_n,cluster_id,transfer_id,source,target,species,drug,predicted_delta_prauc_hybrid_random,observed_delta_prauc_hybrid_random,selected_alpha,policy_choice,oracle_choice,prauc_random,prauc_hybrid,prauc_policy,prauc_oracle,policy_correct_direction,regret_prauc,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,source_internal_diversity
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,0.0095499027906752,-0.0092587934710254,100.0,hybrid,random,0.8141081936458637,0.8048494001748384,0.8048494001748384,0.8141081936458637,False,0.0092587934710253,0.9994880764472504,0.9185713529586792,0.7998564673671007,13.192700684478954,8.246063873002587
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Cefepime,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,0.0095638217995217,-0.0104097383480851,100.0,hybrid,random,0.8144815634014642,0.804071825053379,0.804071825053379,0.8144815634014642,False,0.0104097383480851,0.9992330012161036,0.9226214289665222,0.8059718127041214,13.249262015580628,8.242995247984123
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Ciprofloxacin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,0.0095644299463115,0.0035453070928681,100.0,hybrid,hybrid,0.9207034138628456,0.9242487209557138,0.9242487209557138,0.9242487209557138,True,0.0,0.999393809866133,0.9011023640632628,0.7968549406103177,13.086288299293544,8.171675860109836
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Clindamycin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,0.0095351917575695,-0.0056942480579651,100.0,hybrid,random,0.6359754431274061,0.6302811950694409,0.6302811950694409,0.6359754431274061,False,0.0056942480579651,0.9995516150692678,0.9042452573776244,0.7971723828110981,13.281214346275984,8.251635692115048
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Erythromycin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,0.0095804366685115,-0.006532636218192,100.0,hybrid,random,0.5666569123463675,0.5601242761281754,0.5601242761281754,0.5666569123463675,False,0.0065326362181921,0.9993873836028844,0.8977175951004028,0.8084371524301323,13.253133959254155,8.245121218407762
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Fusidic acid,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,0.0095559408903101,-0.0154085512845679,100.0,hybrid,random,0.6986226375488299,0.6832140862642619,0.6832140862642619,0.6986226375488299,False,0.0154085512845679,0.9994082378883687,0.893692672252655,0.7946105959498119,13.130813639479332,8.16495491566287
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Oxacillin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,0.0095677349935489,-0.0060313880561688,100.0,hybrid,random,0.8090986841374895,0.8030672960813208,0.8030672960813208,0.8090986841374895,False,0.0060313880561687,0.9994717760798378,0.8974229097366333,0.796219232488808,13.085826600466952,8.165518407337048
30,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.0072631927982417,0.0040179269465022,100.0,hybrid,hybrid,0.3363834291849176,0.3404013561314199,0.3404013561314199,0.3404013561314199,True,0.0,0.9942364575474862,0.4535341262817383,0.6427631261622219,10.64051394575224,8.379811144072734
30,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Cefepime,DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,0.0071851889176948,0.0093585997768398,100.0,hybrid,hybrid,0.4313144543971996,0.4406730541740395,0.4406730541740395,0.4406730541740395,True,0.0,0.9921129807534242,0.510299563407898,0.6352050586154934,10.800730241159233,8.362169704076459
30,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftazidime,DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,0.007392205195855,0.0050860773251071,100.0,hybrid,hybrid,0.3082366322087195,0.3133227095338267,0.3133227095338267,0.3133227095338267,True,0.0,0.992367858607974,0.4452377259731293,0.6480576985783254,10.65829632380156,8.374368254993032
