method,selection_rule,requested_coverage,actual_coverage,mean_confidence,mean_support,auroc,prauc,brier,slope,n,positives,prevalence
knn_25,combined,0.2,0.2005420054200542,0.8305946134193553,10.26892988991093,0.49196428571428574,0.11294649249109394,0.056793127300333056,-0.015138752675789078,148,8,0.05405405405405406
knn_25,combined,0.3,0.2994579945799458,0.7982503647465349,10.799915391740758,0.4843601895734597,0.051673000516800655,0.05565823217756817,-0.008839766471465097,221,10,0.04524886877828054
knn_25,combined,0.4,0.3997289972899729,0.7643650852948064,11.188149351928194,0.4368421052631579,0.03183221896951723,0.05415752408839078,-0.021700130771640232,295,10,0.03389830508474576
knn_25,combined,0.5,0.5,0.7409431054235462,11.676436422032713,0.5014084507042254,0.03969957369982628,0.06158519526173441,0.015021819816345733,369,14,0.037940379403794036
knn_25,combined,0.6,0.6002710027100271,0.7190270373656911,12.24902076725497,0.5363398692810457,0.057540962801387964,0.06752257447790577,0.034304628801736896,443,18,0.040632054176072234
knn_25,combined,0.7,0.7005420054200542,0.6929950080446831,12.584739144323413,0.5470347648261759,0.08838113848103425,0.07810612176332096,0.06521100710483471,517,28,0.05415860735009671
knn_25,combined,0.8,0.7994579945799458,0.6646854564789773,12.83316724269673,0.542730734767025,0.0846382656114835,0.08534602723313267,0.06637857096976832,590,32,0.05423728813559322
knn_25,combined,0.9,0.8997289972899729,0.6366460394095107,13.137651193199387,0.5219887955182073,0.07398151630487157,0.08873239191904121,0.05434533851155236,664,34,0.05120481927710843
knn_25,combined,1.0,1.0,0.599087184099623,13.544119575702078,0.5612555551667425,0.09459017959852764,0.09863390691785061,0.07635399569189551,738,41,0.05555555555555555
knn_50,confidence,0.2,0.2005420054200542,0.882662672488569,14.715681385929518,0.6461538461538462,0.10003775843808997,0.03334741728717368,0.3734472169865477,148,5,0.033783783783783786
knn_50,confidence,0.3,0.2994579945799458,0.8465348686896237,14.8598681399833,0.7133173843700159,0.16717811510509742,0.050605219688791635,1.293986736155448,221,12,0.05429864253393665
knn_50,confidence,0.4,0.3997289972899729,0.8073753040383919,14.613356191505819,0.6180952380952381,0.08816687701330017,0.05076620266447145,0.5941531525867821,295,15,0.05084745762711865
knn_50,confidence,0.5,0.5,0.7720324496692207,14.265588067088347,0.5342580213903743,0.04913833969416305,0.050910187857536614,0.24450713294053408,369,17,0.04607046070460705
knn_50,confidence,0.6,0.6002710027100271,0.7377788698251418,14.206204930126802,0.5164302600472813,0.0497564701971156,0.05401367282942303,0.18385232250733474,443,20,0.045146726862302484
knn_50,confidence,0.7,0.7005420054200542,0.7038402273797116,14.042950681118255,0.5041365956697764,0.045936055660600626,0.06004396779788621,0.12672626322934394,517,23,0.04448742746615087
knn_50,confidence,0.8,0.7994579945799458,0.6684405875955449,13.931880670757618,0.4784424778761062,0.03989865364960708,0.06669312950029872,0.05887287240059056,590,25,0.0423728813559322
knn_50,confidence,0.9,0.8997289972899729,0.629874274082394,13.873017593306232,0.5105678233438485,0.049662239860934855,0.07556114093114413,0.09837380117099163,664,30,0.045180722891566265
knn_50,confidence,1.0,1.0,0.5842492184809409,13.896775666187775,0.5936592364488924,0.09122311314934578,0.09019015100297675,0.381920307552245,738,41,0.05555555555555555
knn_50,support,0.2,0.2005420054200542,0.6070583481961037,9.448767737826786,0.4625,0.06695566579446126,0.08315919298436483,0.00523500986950599,148,8,0.05405405405405406
knn_50,support,0.3,0.2994579945799458,0.5961327076257928,10.002071423077476,0.4979035639412998,0.051709133160190913,0.07963284271571758,0.052711927487894064,221,9,0.04072398190045249
knn_50,support,0.4,0.3997289972899729,0.5728924952461827,10.499302011780822,0.5498220640569395,0.07648455617604004,0.08593463481378495,0.08878733158656342,295,14,0.04745762711864407
knn_50,support,0.5,0.5,0.567847329905849,10.957281727571154,0.5459558823529411,0.08225406490472806,0.08548555409583601,0.1537681647029907,369,17,0.04607046070460705
