esik,uygunsuz,gereksiz_genis,uygunsuz_referans,mutlak_azalma,bagil_azalma,agirlikli_maliyet,referans_maliyet,site,kol,rep
0.05,0.0,0.5492957746478874,0.2112676056338028,0.2112676056338028,1.0,0.0823943661971831,0.2112676056338028,DRIAMS-B,kalibre,8
0.1,0.014084507042253521,0.352112676056338,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.06690140845070422,0.2112676056338028,DRIAMS-B,kalibre,8
0.2,0.056338028169014086,0.19718309859154928,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.08591549295774648,0.2112676056338028,DRIAMS-B,kalibre,8
0.05,0.028169014084507043,0.5774647887323944,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.1147887323943662,0.2112676056338028,DRIAMS-B,kalibre,9
0.1,0.04225352112676056,0.4647887323943662,0.2112676056338028,0.16901408450704225,0.8,0.11197183098591548,0.2112676056338028,DRIAMS-B,kalibre,9
0.2,0.04225352112676056,0.2535211267605634,0.2112676056338028,0.16901408450704225,0.8,0.08028169014084507,0.2112676056338028,DRIAMS-B,kalibre,9
0.05,0.04225352112676056,0.14084507042253522,0.2112676056338028,0.16901408450704225,0.8,0.06338028169014084,0.2112676056338028,DRIAMS-B,havuz,0
0.1,0.08450704225352113,0.056338028169014086,0.2112676056338028,0.1267605633802817,0.6,0.09295774647887324,0.2112676056338028,DRIAMS-B,havuz,0
0.2,0.09859154929577464,0.028169014084507043,0.2112676056338028,0.11267605633802817,0.5333333333333333,0.10281690140845069,0.2112676056338028,DRIAMS-B,havuz,0
0.05,0.07042253521126761,0.15492957746478872,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.09366197183098592,0.2112676056338028,DRIAMS-B,havuz,1
0.1,0.09859154929577464,0.056338028169014086,0.2112676056338028,0.11267605633802817,0.5333333333333333,0.10704225352112676,0.2112676056338028,DRIAMS-B,havuz,1
0.2,0.1267605633802817,0.014084507042253521,0.2112676056338028,0.08450704225352113,0.4,0.1288732394366197,0.2112676056338028,DRIAMS-B,havuz,1
0.05,0.028169014084507043,0.16901408450704225,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.05352112676056338,0.2112676056338028,DRIAMS-B,havuz,2
0.1,0.04225352112676056,0.09859154929577464,0.2112676056338028,0.16901408450704225,0.8,0.057042253521126754,0.2112676056338028,DRIAMS-B,havuz,2
0.2,0.07042253521126761,0.028169014084507043,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.07464788732394366,0.2112676056338028,DRIAMS-B,havuz,2
0.05,0.028169014084507043,0.18309859154929578,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.05563380281690141,0.2112676056338028,DRIAMS-B,havuz,3
0.1,0.04225352112676056,0.07042253521126761,0.2112676056338028,0.16901408450704225,0.8,0.0528169014084507,0.2112676056338028,DRIAMS-B,havuz,3
0.2,0.08450704225352113,0.056338028169014086,0.2112676056338028,0.1267605633802817,0.6,0.09295774647887324,0.2112676056338028,DRIAMS-B,havuz,3
0.05,0.028169014084507043,0.19718309859154928,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.05774647887323943,0.2112676056338028,DRIAMS-B,havuz,4
0.1,0.04225352112676056,0.11267605633802817,0.2112676056338028,0.16901408450704225,0.8,0.059154929577464786,0.2112676056338028,DRIAMS-B,havuz,4
0.2,0.07042253521126761,0.028169014084507043,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.07464788732394366,0.2112676056338028,DRIAMS-B,havuz,4
0.05,0.028169014084507043,0.18309859154929578,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.05563380281690141,0.2112676056338028,DRIAMS-B,havuz,5
0.1,0.056338028169014086,0.056338028169014086,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.0647887323943662,0.2112676056338028,DRIAMS-B,havuz,5
0.2,0.07042253521126761,0.04225352112676056,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.0767605633802817,0.2112676056338028,DRIAMS-B,havuz,5
0.05,0.014084507042253521,0.15492957746478872,0.2112676056338028,0.19718309859154928,0.9333333333333332,0.03732394366197183,0.2112676056338028,DRIAMS-B,havuz,6
0.1,0.028169014084507043,0.056338028169014086,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.036619718309859155,0.2112676056338028,DRIAMS-B,havuz,6
0.2,0.08450704225352113,0.014084507042253521,0.2112676056338028,0.1267605633802817,0.6,0.08661971830985915,0.2112676056338028,DRIAMS-B,havuz,6
0.05,0.04225352112676056,0.2112676056338028,0.2112676056338028,0.16901408450704225,0.8,0.07394366197183098,0.2112676056338028,DRIAMS-B,havuz,7
0.1,0.07042253521126761,0.09859154929577464,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.0852112676056338,0.2112676056338028,DRIAMS-B,havuz,7
0.2,0.08450704225352113,0.04225352112676056,0.2112676056338028,0.1267605633802817,0.6,0.09084507042253522,0.2112676056338028,DRIAMS-B,havuz,7
0.05,0.056338028169014086,0.19718309859154928,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.08591549295774648,0.2112676056338028,DRIAMS-B,havuz,8
0.1,0.07042253521126761,0.09859154929577464,0.2112676056338028,0.1408450704225352,0.6666666666666666,0.0852112676056338,0.2112676056338028,DRIAMS-B,havuz,8
0.2,0.09859154929577464,0.056338028169014086,0.2112676056338028,0.11267605633802817,0.5333333333333333,0.10704225352112676,0.2112676056338028,DRIAMS-B,havuz,8
0.05,0.028169014084507043,0.2112676056338028,0.2112676056338028,0.18309859154929578,0.8666666666666667,0.05985915492957747,0.2112676056338028,DRIAMS-B,havuz,9
0.1,0.056338028169014086,0.15492957746478872,0.2112676056338028,0.15492957746478872,0.7333333333333333,0.0795774647887324,0.2112676056338028,DRIAMS-B,havuz,9
0.2,0.08450704225352113,0.07042253521126761,0.2112676056338028,0.1267605633802817,0.6,0.09507042253521127,0.2112676056338028,DRIAMS-B,havuz,9
0.05,0.07868852459016394,0.23278688524590163,0.16393442622950818,0.08524590163934424,0.5199999999999999,0.1136065573770492,0.16393442622950818,DRIAMS-C,ham,0
0.1,0.09836065573770492,0.14754098360655737,0.16393442622950818,0.06557377049180327,0.39999999999999997,0.12049180327868853,0.16393442622950818,DRIAMS-C,ham,0
0.2,0.10491803278688525,0.06885245901639345,0.16393442622950818,0.05901639344262294,0.35999999999999993,0.11524590163934426,0.16393442622950818,DRIAMS-C,ham,0
0.05,0.06885245901639345,0.2459016393442623,0.16393442622950818,0.09508196721311474,0.58,0.10573770491803279,0.16393442622950818,DRIAMS-C,ham,1
0.1,0.09836065573770492,0.15081967213114755,0.16393442622950818,0.06557377049180327,0.39999999999999997,0.12098360655737705,0.16393442622950818,DRIAMS-C,ham,1
0.2,0.10491803278688525,0.08196721311475409,0.16393442622950818,0.05901639344262294,0.35999999999999993,0.11721311475409836,0.16393442622950818,DRIAMS-C,ham,1
0.05,0.06557377049180328,0.2459016393442623,0.16393442622950818,0.0983606557377049,0.6,0.10245901639344263,0.16393442622950818,DRIAMS-C,ham,2
0.1,0.09836065573770492,0.13114754098360656,0.16393442622950818,0.06557377049180327,0.39999999999999997,0.1180327868852459,0.16393442622950818,DRIAMS-C,ham,2
0.2,0.11475409836065574,0.05901639344262295,0.16393442622950818,0.049180327868852444,0.29999999999999993,0.12360655737704918,0.16393442622950818,DRIAMS-C,ham,2
0.05,0.06557377049180328,0.23934426229508196,0.16393442622950818,0.0983606557377049,0.6,0.10147540983606557,0.16393442622950818,DRIAMS-C,ham,3
0.1,0.08852459016393442,0.1377049180327869,0.16393442622950818,0.07540983606557376,0.45999999999999996,0.10918032786885246,0.16393442622950818,DRIAMS-C,ham,3
