site,kol,esik,net_fayda
DRIAMS-C,ham,0.41,0.01072
DRIAMS-C,ham,0.42,0.01255
DRIAMS-C,ham,0.43,0.01392
DRIAMS-C,ham,0.44,0.01486
DRIAMS-C,ham,0.45,0.01537
DRIAMS-C,ham,0.46,0.01352
DRIAMS-C,ham,0.47,0.01296
DRIAMS-C,ham,0.48,0.01237
DRIAMS-C,ham,0.49,0.01177
DRIAMS-C,ham,0.5,0.01081
DRIAMS-C,kalibre,0.05,0.11664
DRIAMS-C,kalibre,0.06,0.10679
DRIAMS-C,kalibre,0.07,0.09555
DRIAMS-C,kalibre,0.08,0.08348
DRIAMS-C,kalibre,0.09,0.07641
DRIAMS-C,kalibre,0.1,0.0711
DRIAMS-C,kalibre,0.11,0.06536
DRIAMS-C,kalibre,0.12,0.05954
DRIAMS-C,kalibre,0.13,0.05456
DRIAMS-C,kalibre,0.14,0.05102
DRIAMS-C,kalibre,0.15,0.04883
DRIAMS-C,kalibre,0.16,0.04375
DRIAMS-C,kalibre,0.17,0.04193
DRIAMS-C,kalibre,0.18,0.03731
DRIAMS-C,kalibre,0.19,0.03505
DRIAMS-C,kalibre,0.2,0.03242
DRIAMS-C,kalibre,0.21,0.03101
DRIAMS-C,kalibre,0.22,0.03156
DRIAMS-C,kalibre,0.23,0.03109
DRIAMS-C,kalibre,0.24,0.02889
DRIAMS-C,kalibre,0.25,0.02729
DRIAMS-C,kalibre,0.26,0.02624
DRIAMS-C,kalibre,0.27,0.02553
DRIAMS-C,kalibre,0.28,0.02447
DRIAMS-C,kalibre,0.29,0.02278
DRIAMS-C,kalibre,0.3,0.02171
DRIAMS-C,kalibre,0.31,0.02109
DRIAMS-C,kalibre,0.32,0.01867
DRIAMS-C,kalibre,0.33,0.01717
DRIAMS-C,kalibre,0.34,0.0158
DRIAMS-C,kalibre,0.35,0.013
DRIAMS-C,kalibre,0.36,0.01078
DRIAMS-C,kalibre,0.37,0.00844
DRIAMS-C,kalibre,0.38,0.00899
DRIAMS-C,kalibre,0.39,0.00902
DRIAMS-C,kalibre,0.4,0.00939
DRIAMS-C,kalibre,0.41,0.00875
DRIAMS-C,kalibre,0.42,0.00863
DRIAMS-C,kalibre,0.43,0.00845
DRIAMS-C,kalibre,0.44,0.00772
DRIAMS-C,kalibre,0.45,0.00706
DRIAMS-C,kalibre,0.46,0.00679
DRIAMS-C,kalibre,0.47,0.00592
DRIAMS-C,kalibre,0.48,0.00456
DRIAMS-C,kalibre,0.49,0.00424
DRIAMS-C,kalibre,0.5,0.0036
DRIAMS-C,havuz,0.05,0.08045
DRIAMS-C,havuz,0.06,0.0729
DRIAMS-C,havuz,0.07,0.06744
DRIAMS-C,havuz,0.08,0.06237
DRIAMS-C,havuz,0.09,0.05892
DRIAMS-C,havuz,0.1,0.05632
DRIAMS-C,havuz,0.11,0.05238
DRIAMS-C,havuz,0.12,0.05037
DRIAMS-C,havuz,0.13,0.04749
DRIAMS-C,havuz,0.14,0.04547
DRIAMS-C,havuz,0.15,0.04305
DRIAMS-C,havuz,0.16,0.04294
DRIAMS-C,havuz,0.17,0.04053
DRIAMS-C,havuz,0.18,0.03766
DRIAMS-C,havuz,0.19,0.03634
DRIAMS-C,havuz,0.2,0.03447
DRIAMS-C,havuz,0.21,0.03354
DRIAMS-C,havuz,0.22,0.03197
DRIAMS-C,havuz,0.23,0.0316
DRIAMS-C,havuz,0.24,0.03164
DRIAMS-C,havuz,0.25,0.03133
DRIAMS-C,havuz,0.26,0.02989
DRIAMS-C,havuz,0.27,0.02924
DRIAMS-C,havuz,0.28,0.02804
DRIAMS-C,havuz,0.29,0.02534
DRIAMS-C,havuz,0.3,0.02522
DRIAMS-C,havuz,0.31,0.02351
DRIAMS-C,havuz,0.32,0.02281
DRIAMS-C,havuz,0.33,0.0222
DRIAMS-C,havuz,0.34,0.02096
DRIAMS-C,havuz,0.35,0.02076
DRIAMS-C,havuz,0.36,0.01857
DRIAMS-C,havuz,0.37,0.01741
DRIAMS-C,havuz,0.38,0.01568
DRIAMS-C,havuz,0.39,0.0158
DRIAMS-C,havuz,0.4,0.01507
DRIAMS-C,havuz,0.41,0.01329
DRIAMS-C,havuz,0.42,0.01231
DRIAMS-C,havuz,0.43,0.01079
DRIAMS-C,havuz,0.44,0.01046
DRIAMS-C,havuz,0.45,0.00813
DRIAMS-C,havuz,0.46,0.00643
DRIAMS-C,havuz,0.47,0.00594
DRIAMS-C,havuz,0.48,0.00512
DRIAMS-C,havuz,0.49,0.00501
DRIAMS-C,havuz,0.5,0.00426
DRIAMS-C,hepsi,0.05,0.12089
DRIAMS-C,hepsi,0.06,0.11154
DRIAMS-C,hepsi,0.07,0.10199
DRIAMS-C,hepsi,0.08,0.09223
DRIAMS-C,hepsi,0.09,0.08225
DRIAMS-C,hepsi,0.1,0.07205
DRIAMS-C,hepsi,0.11,0.06163
DRIAMS-C,hepsi,0.12,0.05096
DRIAMS-C,hepsi,0.13,0.04005
DRIAMS-C,hepsi,0.14,0.02889
DRIAMS-C,hepsi,0.15,0.01747
DRIAMS-C,hepsi,0.16,0.00577
DRIAMS-C,hepsi,0.17,-0.00621
DRIAMS-C,hepsi,0.18,-0.01848
DRIAMS-C,hepsi,0.19,-0.03105
DRIAMS-C,hepsi,0.2,-0.04394
DRIAMS-C,hepsi,0.21,-0.05716
DRIAMS-C,hepsi,0.22,-0.07071
DRIAMS-C,hepsi,0.23,-0.08461
DRIAMS-C,hepsi,0.24,-0.09889
DRIAMS-C,hepsi,0.25,-0.11354
DRIAMS-C,hepsi,0.26,-0.12858
DRIAMS-C,hepsi,0.27,-0.14404
DRIAMS-C,hepsi,0.28,-0.15993
DRIAMS-C,hepsi,0.29,-0.17627
DRIAMS-C,hepsi,0.3,-0.19308
DRIAMS-C,hepsi,0.31,-0.21037
DRIAMS-C,hepsi,0.32,-0.22817
DRIAMS-C,hepsi,0.33,-0.2465
DRIAMS-C,hepsi,0.34,-0.26538
DRIAMS-C,hepsi,0.35,-0.28485
DRIAMS-C,hepsi,0.36,-0.30493
DRIAMS-C,hepsi,0.37,-0.32564
DRIAMS-C,hepsi,0.38,-0.34702
DRIAMS-C,hepsi,0.39,-0.3691
DRIAMS-C,hepsi,0.4,-0.39192
DRIAMS-C,hepsi,0.41,-0.41551
DRIAMS-C,hepsi,0.42,-0.43992
DRIAMS-C,hepsi,0.43,-0.46518
DRIAMS-C,hepsi,0.44,-0.49134
DRIAMS-C,hepsi,0.45,-0.51846
DRIAMS-C,hepsi,0.46,-0.54658
DRIAMS-C,hepsi,0.47,-0.57576
DRIAMS-C,hepsi,0.48,-0.60606
DRIAMS-C,hepsi,0.49,-0.63755
DRIAMS-C,hepsi,0.5,-0.67031
DRIAMS-D,ham,0.05,0.0423
DRIAMS-D,ham,0.06,0.04019
DRIAMS-D,ham,0.07,0.03658
DRIAMS-D,ham,0.08,0.03524
DRIAMS-D,ham,0.09,0.03342
DRIAMS-D,ham,0.1,0.03298
DRIAMS-D,ham,0.11,0.03154
DRIAMS-D,ham,0.12,0.03166
DRIAMS-D,ham,0.13,0.03158
DRIAMS-D,ham,0.14,0.03123
DRIAMS-D,ham,0.15,0.03073
DRIAMS-D,ham,0.16,0.03035
DRIAMS-D,ham,0.17,0.0288
DRIAMS-D,ham,0.18,0.02877
DRIAMS-D,ham,0.19,0.02728
DRIAMS-D,ham,0.2,0.02602
DRIAMS-D,ham,0.21,0.02451
DRIAMS-D,ham,0.22,0.02287
DRIAMS-D,ham,0.23,0.02212
DRIAMS-D,ham,0.24,0.01949
DRIAMS-D,ham,0.25,0.0189
DRIAMS-D,ham,0.26,0.01891
DRIAMS-D,ham,0.27,0.01895
DRIAMS-D,ham,0.28,0.01881
DRIAMS-D,ham,0.29,0.01823
DRIAMS-D,ham,0.3,0.01764
DRIAMS-D,ham,0.31,0.01797
DRIAMS-D,ham,0.32,0.01664
DRIAMS-D,ham,0.33,0.01651
DRIAMS-D,ham,0.34,0.01638
DRIAMS-D,ham,0.35,0.01594
DRIAMS-D,ham,0.36,0.01597
DRIAMS-D,ham,0.37,0.01583
DRIAMS-D,ham,0.38,0.01569
DRIAMS-D,ham,0.39,0.01554
DRIAMS-D,ham,0.4,0.01619
DRIAMS-D,ham,0.41,0.01635
DRIAMS-D,ham,0.42,0.01647
DRIAMS-D,ham,0.43,0.01638
DRIAMS-D,ham,0.44,0.01676
DRIAMS-D,ham,0.45,0.01608
DRIAMS-D,ham,0.46,0.01524
DRIAMS-D,ham,0.47,0.01516
DRIAMS-D,ham,0.48,0.01489
DRIAMS-D,ham,0.49,0.01481
DRIAMS-D,ham,0.5,0.01474
DRIAMS-D,kalibre,0.05,0.05624
DRIAMS-D,kalibre,0.06,0.05122
DRIAMS-D,kalibre,0.07,0.04551
DRIAMS-D,kalibre,0.08,0.04221
DRIAMS-D,kalibre,0.09,0.03856
DRIAMS-D,kalibre,0.1,0.03614
DRIAMS-D,kalibre,0.11,0.03395
DRIAMS-D,kalibre,0.12,0.03141
DRIAMS-D,kalibre,0.13,0.02998
DRIAMS-D,kalibre,0.14,0.02885
DRIAMS-D,kalibre,0.15,0.02739
DRIAMS-D,kalibre,0.16,0.02649
DRIAMS-D,kalibre,0.17,0.02548
DRIAMS-D,kalibre,0.18,0.02551
DRIAMS-D,kalibre,0.19,0.02492
DRIAMS-D,kalibre,0.2,0.02376
DRIAMS-D,kalibre,0.21,0.02316
DRIAMS-D,kalibre,0.22,0.02313
DRIAMS-D,kalibre,0.23,0.02316
DRIAMS-D,kalibre,0.24,0.02268
DRIAMS-D,kalibre,0.25,0.0217
DRIAMS-D,kalibre,0.26,0.02204
DRIAMS-D,kalibre,0.27,0.02168
DRIAMS-D,kalibre,0.28,0.02249
DRIAMS-D,kalibre,0.29,0.02269
DRIAMS-D,kalibre,0.3,0.02271
DRIAMS-D,kalibre,0.31,0.02295
DRIAMS-D,kalibre,0.32,0.02252
DRIAMS-D,kalibre,0.33,0.02252
DRIAMS-D,kalibre,0.34,0.02243
DRIAMS-D,kalibre,0.35,0.02201
DRIAMS-D,kalibre,0.36,0.02096
DRIAMS-D,kalibre,0.37,0.02049
DRIAMS-D,kalibre,0.38,0.01916
DRIAMS-D,kalibre,0.39,0.01829
DRIAMS-D,kalibre,0.4,0.01744
DRIAMS-D,kalibre,0.41,0.01706
DRIAMS-D,kalibre,0.42,0.01629
DRIAMS-D,kalibre,0.43,0.01625
DRIAMS-D,kalibre,0.44,0.01609
DRIAMS-D,kalibre,0.45,0.01598
DRIAMS-D,kalibre,0.46,0.01546
DRIAMS-D,kalibre,0.47,0.01478
DRIAMS-D,kalibre,0.48,0.01381
DRIAMS-D,kalibre,0.49,0.01388
DRIAMS-D,kalibre,0.5,0.01368
DRIAMS-D,havuz,0.05,0.04488
DRIAMS-D,havuz,0.06,0.04271
DRIAMS-D,havuz,0.07,0.04001
DRIAMS-D,havuz,0.08,0.0381
DRIAMS-D,havuz,0.09,0.03663
DRIAMS-D,havuz,0.1,0.03579
DRIAMS-D,havuz,0.11,0.03469
DRIAMS-D,havuz,0.12,0.03326
DRIAMS-D,havuz,0.13,0.03309
DRIAMS-D,havuz,0.14,0.03256
DRIAMS-D,havuz,0.15,0.03199
DRIAMS-D,havuz,0.16,0.03087
DRIAMS-D,havuz,0.17,0.03012
DRIAMS-D,havuz,0.18,0.02987
DRIAMS-D,havuz,0.19,0.02945
DRIAMS-D,havuz,0.2,0.02853
DRIAMS-D,havuz,0.21,0.02741
DRIAMS-D,havuz,0.22,0.02662
DRIAMS-D,havuz,0.23,0.02545
DRIAMS-D,havuz,0.24,0.02505
DRIAMS-D,havuz,0.25,0.02456
DRIAMS-D,havuz,0.26,0.02438
DRIAMS-D,havuz,0.27,0.02395
DRIAMS-D,havuz,0.28,0.02374
DRIAMS-D,havuz,0.29,0.02313
DRIAMS-D,havuz,0.3,0.02273
DRIAMS-D,havuz,0.31,0.02212
DRIAMS-D,havuz,0.32,0.0216
DRIAMS-D,havuz,0.33,0.0213
DRIAMS-D,havuz,0.34,0.02101
DRIAMS-D,havuz,0.35,0.0211
DRIAMS-D,havuz,0.36,0.02058
DRIAMS-D,havuz,0.37,0.02015
DRIAMS-D,havuz,0.38,0.01982
DRIAMS-D,havuz,0.39,0.01935
DRIAMS-D,havuz,0.4,0.0192
DRIAMS-D,havuz,0.41,0.01855
DRIAMS-D,havuz,0.42,0.01835
DRIAMS-D,havuz,0.43,0.0177
DRIAMS-D,havuz,0.44,0.0175
DRIAMS-D,havuz,0.45,0.01729
DRIAMS-D,havuz,0.46,0.01664
DRIAMS-D,havuz,0.47,0.01698
DRIAMS-D,havuz,0.48,0.01693
DRIAMS-D,havuz,0.49,0.01689
DRIAMS-D,havuz,0.5,0.01669
