source,target,species,drug,budget_n,metric,n_pairs,hybrid_mean,random_mean,delta_mean,delta_ci_low,delta_ci_high,significant
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,30,prauc,50,0.6302811950694409,0.6359754431274061,-0.0056942480579651,-0.0178963657298683,0.0058170259261797,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,30,brier,50,0.2233005489919578,0.2277149213204346,-0.0044143723284768,-0.0083262035910048,-0.0002844384583906,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,30,selected_pos,50,10.16,12.58,-2.42,-3.12,-1.7,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,50,auroc,50,0.6976042343073593,0.7038559879549462,-0.0062517536475869,-0.0147680165368967,0.002348477959155,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,50,prauc,50,0.6427805912851404,0.6527003082626653,-0.0099197169775247,-0.0209122160906924,0.0014433552003762,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,50,brier,50,0.2188899470237959,0.2180560591044912,0.0008338879193046,-0.0027537910518265,0.004371477270173,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,50,selected_pos,50,17.64,20.4,-2.76,-3.6,-1.94,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,20,auroc,50,0.6293388629463085,0.6297770187170914,-0.0004381557707829,-0.0129164531808486,0.0122926180147199,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,20,prauc,50,0.5545323327480043,0.5570138871646919,-0.0024815544166876,-0.0145445030673316,0.0098461414016832,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,20,brier,50,0.2589550878604368,0.259416407896287,-0.0004613200358501,-0.0052723005618685,0.0043653723771519,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,20,selected_pos,50,8.16,9.24,-1.08,-1.82,-0.38,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,30,auroc,50,0.6368913174026674,0.6392707468580653,-0.0023794294553979,-0.0133959099600291,0.0085665469824935,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,30,prauc,50,0.5601242761281754,0.5666569123463675,-0.006532636218192,-0.0190727150698938,0.0060022424634072,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,30,brier,50,0.2532149131758799,0.2532411590294696,-2.6245853589698663e-05,-0.0053498545045539,0.0051440653783772,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,30,selected_pos,50,12.02,13.74,-1.72,-2.64,-0.84,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,50,auroc,50,0.6415073816249663,0.6573697682462816,-0.0158623866213152,-0.0268512949070871,-0.0044883760425073,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,50,prauc,50,0.5652839723018341,0.586289330008988,-0.0210053577071537,-0.0325677453586966,-0.0093226989438295,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,50,brier,50,0.2492925066363914,0.2414607091682318,0.0078317974681596,0.0025419401522712,0.0128255068897027,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,50,selected_pos,50,20.82,21.84,-1.02,-1.98,-0.14,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,20,auroc,50,0.7284025165881666,0.732905155796977,-0.0045026392088103,-0.0130057721089604,0.0042686392546498,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,20,prauc,50,0.6838198676385743,0.6899989886390611,-0.0061791210004867,-0.0197108722969734,0.0074536927857674,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,20,brier,50,0.2128548699525049,0.2119350194202661,0.0009198505322387,-0.0024385158008448,0.0042838071711849,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,20,selected_pos,50,9.12,9.4,-0.28,-1.04,0.46,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,30,auroc,50,0.7354718236096309,0.743481129026713,-0.0080093054170821,-0.0176238092618696,0.0016203256895978,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,30,prauc,50,0.6832140862642619,0.6986226375488299,-0.0154085512845679,-0.027007863185059,-0.0037716588375981,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,30,brier,50,0.2100733512034379,0.2069063451959053,0.0031670060075325,-0.0004139468390723,0.0067516888742413,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,30,selected_pos,50,13.9,13.54,0.36,-0.62,1.34,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,50,auroc,50,0.7450309943732022,0.7485895233838714,-0.0035585290106691,-0.0130108563963282,0.0057843299985101,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,50,prauc,50,0.6998669916061883,0.7103991520018382,-0.01053216039565,-0.0230588376150026,0.0019237885234642,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,50,brier,50,0.2055124520349606,0.2047838695458582,0.0007285824891024,-0.003102477433463,0.0045831872111966,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,50,selected_pos,50,22.9,24.04,-1.14,-2.12,-0.18,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,20,auroc,50,0.727788951597919,0.7295231837606838,-0.0017342321627647,-0.0067773937430323,0.0032989696557971,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,20,prauc,50,0.8036427843652473,0.8084384624907848,-0.0047956781255374,-0.0100767101218161,0.0004476792428124,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,20,brier,50,0.2387583799776665,0.2364934889949176,0.0022648909827489,-0.0012347756859101,0.005733478708948,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,20,selected_pos,50,8.66,11.24,-2.58,-3.22,-1.96,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,30,auroc,50,0.7294332334633964,0.7290478702155333,0.0003853632478632,-0.0070073622723894,0.0080586200529542,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,30,prauc,50,0.8030672960813205,0.8090986841374896,-0.0060313880561688,-0.0138418607030199,0.001667173274786,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,30,brier,50,0.2352886072580997,0.2385556121835533,-0.0032670049254536,-0.0071190898714077,0.0004827695039302,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,30,selected_pos,50,13.38,17.46,-4.08,-5.02,-3.16,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,50,auroc,50,0.7421067052211074,0.7401937732255668,0.0019129319955406,-0.0047087173100148,0.0086344026964882,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,50,prauc,50,0.8139231539117895,0.8194686485177125,-0.005545494605923,-0.0126449983102395,0.0015258034952528,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,50,brier,50,0.2269013422632581,0.2299675006925033,-0.0030661584292452,-0.006654586912486,0.0006101428825215,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,50,selected_pos,50,23.54,29.32,-5.78,-6.58,-5.0,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,20,auroc,50,0.574018115942029,0.575945652173913,-0.001927536231884,-0.0081192287784679,0.004488354037267,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,20,prauc,50,0.3385378003593786,0.3403446406436145,-0.0018068402842357,-0.0088931426963783,0.0055100197008283,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,20,brier,50,0.2021552943670011,0.2015959843369813,0.0005593100300197,-0.0005249766017686,0.0016283250969331,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,20,selected_pos,50,7.6,5.06,2.54,1.7595000000000005,3.36,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,30,auroc,50,0.5775548654244307,0.5728633540372671,0.0046915113871635,-0.0022856366459627,0.0120264492753623,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,30,prauc,50,0.3404013561314199,0.3363834291849176,0.0040179269465022,-0.0021772244764238,0.010015623846053,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,30,brier,50,0.2017154689183043,0.2022501322872701,-0.0005346633689659,-0.0017041350360389,0.0006287503932125,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,30,selected_pos,50,10.74,7.46,3.28,2.46,4.080499999999993,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,50,auroc,50,0.5708167701863355,0.573518115942029,-0.0027013457556935,-0.0099841097308488,0.0042315734989648,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,50,prauc,50,0.3347977360671766,0.3401563687153392,-0.0053586326481626,-0.0128312796065661,0.0021636019958193,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,50,brier,50,0.2031044250312071,0.2016885709743313,0.0014158540568757,0.0002195670176056,0.0026053443235912,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,50,selected_pos,50,15.94,12.76,3.18,2.06,4.28,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,20,auroc,50,0.671737071172555,0.671605222734255,0.0001318484383,-0.0049656618023553,0.00509229390681,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,20,prauc,50,0.434507293512232,0.4336368981617196,0.0008703953505124,-0.0080556742012309,0.0097191732477451,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,20,brier,50,0.1647724200842963,0.1677900075727848,-0.0030175874884884,-0.0042084448799001,-0.0017968829080392,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,20,selected_pos,50,10.16,4.4,5.76,5.02,6.52,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,30,auroc,50,0.6755133128520224,0.6744367639528928,0.0010765488991295,-0.0043370775729646,0.0064196748591909,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,30,prauc,50,0.4406730541740395,0.4313144543971996,0.0093585997768398,0.000730549374395,0.0179235014438543,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,30,brier,50,0.1638415884364845,0.1686338224772495,-0.0047922340407648,-0.0057631664894052,-0.0037386751421311,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,30,selected_pos,50,13.36,5.9,7.46,6.68,8.22,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,50,auroc,50,0.6809267793138761,0.6753801843317973,0.0055465949820788,-0.0006978046594982,0.0118478942652329,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,50,prauc,50,0.4463720700381264,0.4377737978808977,0.0085982721572287,-0.0010001302488195,0.0180414967677273,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,50,brier,50,0.1625405478889561,0.1668868842565263,-0.0043463363675702,-0.0057941669478626,-0.002926948876315,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,50,selected_pos,50,18.94,10.08,8.86,7.9,9.86,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,20,auroc,50,0.6372375022238036,0.6369941291585126,0.0002433730652908,-0.0046120974915495,0.0051330368261874,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,20,prauc,50,0.3160302012180401,0.3043665685462357,0.0116636326718043,0.0031500060434236,0.0203831637122448,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,20,brier,50,0.1380477662932633,0.138929545890439,-0.0008817795971757,-0.0017079718649451,-8.571410609046081e-05,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,20,selected_pos,50,7.14,3.52,3.62,2.8995,4.34,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,30,auroc,50,0.639254225226828,0.6395217932752179,-0.0002675680483899,-0.0044314356876,0.0040869774061555,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,30,prauc,50,0.3133227095338267,0.3082366322087196,0.0050860773251071,-0.0036184359781381,0.0136699772107081,False
