rep,strategy,budget_n,selected_pos,selected_pos_rate,auroc,prauc,brier,slope,n,positives,prevalence
7,random,75,4,0.05333333333333334,0.6734957020057307,0.16691301357774088,0.05145141732167272,0.3574466526584615,369,20,0.05420054200542006
7,kennard_stone,75,3,0.04,0.6464183381088825,0.16169704163236862,0.05190521706162735,0.30525071191831044,369,20,0.05420054200542006
7,uncertainty,75,2,0.02666666666666667,0.672922636103152,0.1346903761372479,0.054607573471963905,0.3061459215156604,369,20,0.05420054200542006
7,domain_distance,75,3,0.04,0.6808022922636103,0.18196068612008046,0.05361697516656381,0.3208043366678602,369,20,0.05420054200542006
7,hybrid,75,7,0.09333333333333334,0.6720630372492836,0.1646571104166153,0.05083840260507625,0.36098597878833555,369,20,0.05420054200542006
7,random,100,5,0.05,0.6829512893982809,0.1469928676727077,0.0529707613320941,0.3601309551107009,369,20,0.05420054200542006
7,kennard_stone,100,6,0.06,0.7017191977077364,0.1443396134831789,0.05469382640295551,0.3430624168464194,369,20,0.05420054200542006
7,uncertainty,100,3,0.03,0.6710601719197707,0.13926527517436546,0.055419813506781504,0.29288711775519594,369,20,0.05420054200542006
7,domain_distance,100,4,0.04,0.6703438395415473,0.15126482738028224,0.053827427963450074,0.32318248561872953,369,20,0.05420054200542006
7,hybrid,100,9,0.09,0.676647564469914,0.19560769118545243,0.05002025047196402,0.38675980109234015,369,20,0.05420054200542006
8,source_only,0,0,0.0,0.6829501915708813,0.1630762588692288,0.05541244655597167,0.32578540650388166,369,21,0.056910569105691054
8,random,10,1,0.1,0.6911603721948549,0.1422320096758111,0.054843419875462984,0.3614996556698603,369,21,0.056910569105691054
8,kennard_stone,10,1,0.1,0.6746031746031746,0.15863388111696333,0.05370572273524555,0.3618538070687284,369,21,0.056910569105691054
8,uncertainty,10,0,0.0,0.6974548440065681,0.18499305036504612,0.05643483719676515,0.3445198854821569,369,21,0.056910569105691054
8,domain_distance,10,1,0.1,0.6980021893814998,0.18988475830952187,0.05413818298114033,0.37684358746612806,369,21,0.056910569105691054
8,hybrid,10,3,0.3,0.7261904761904762,0.22911788441533773,0.05119211303048937,0.47324116814423384,369,21,0.056910569105691054
8,random,20,1,0.05,0.6628352490421455,0.16632031962335317,0.053650993567899256,0.31638522667050495,369,21,0.056910569105691054
8,kennard_stone,20,1,0.05,0.6748768472906405,0.15575291939041247,0.0538842394737371,0.3495805100578538,369,21,0.056910569105691054
8,uncertainty,20,0,0.0,0.7032019704433498,0.15707976725824752,0.055579163705351264,0.36031038453683106,369,21,0.056910569105691054
8,domain_distance,20,1,0.05,0.7053913519430761,0.18147277802313533,0.05332573195215827,0.387898866367828,369,21,0.056910569105691054
8,hybrid,20,4,0.2,0.680623973727422,0.22424403140105154,0.05196034038704757,0.3681989190103278,369,21,0.056910569105691054
8,random,30,2,0.06666666666666667,0.714696223316913,0.17990267672227422,0.053826851023124574,0.42516094537745946,369,21,0.056910569105691054
8,kennard_stone,30,1,0.03333333333333333,0.7034756431308156,0.17781526527486266,0.05260685860446468,0.41105204694051134,369,21,0.056910569105691054
8,uncertainty,30,0,0.0,0.6819923371647508,0.18761589833062128,0.05229491596594064,0.3754475289402944,369,21,0.056910569105691054
