strategy,budget_n,n_reps,mean_selected_pos,mean_selected_pos_rate,auroc_mean,auroc_ci_low,auroc_ci_high,prauc_mean,prauc_ci_low,prauc_ci_high,brier_mean,brier_ci_low,brier_ci_high,slope_mean,slope_ci_low,slope_ci_high
kennard_stone,30,20,2.0,0.06666666666666668,0.6894880007465226,0.6661507597357685,0.7139898453906148,0.19464856941665326,0.17001749327236887,0.2192469263559821,0.05261697838910567,0.05125973816377714,0.05412252330418782,0.3730915194372689,0.32984385146715856,0.4186016624892253
kennard_stone,50,20,3.8,0.076,0.6916894779517049,0.668816758100006,0.7131185049786473,0.20151800068211592,0.1776646124092847,0.22511873462669169,0.05171937944922743,0.05034877896142779,0.05321668331155813,0.38159397219135727,0.33765609229637084,0.42217450653600364
kennard_stone,75,20,5.25,0.06999999999999999,0.6955750772792072,0.6722869961952438,0.7186075624820623,0.21090703733107805,0.18794197020155967,0.2359533829182894,0.05082003726003801,0.04958851920058522,0.05212086946544939,0.400198355267798,0.35418168455666793,0.4465370877366053
kennard_stone,100,20,7.15,0.07150000000000002,0.6969250756324662,0.6743782587830113,0.7200176544368694,0.20932985809173954,0.18406165192446686,0.2347766030590225,0.05128603803165007,0.0498381929455393,0.05290937552669007,0.4017795136742846,0.3521438565137004,0.4504882283831593
random,10,20,0.8,0.08,0.6934060722401796,0.6713384289188126,0.7163707136701467,0.1913249223710766,0.16310300409459824,0.22252527972015243,0.0542726731858552,0.05256103472744705,0.05607991376080475,0.3613688669777998,0.3175297284845613,0.40634644122769253
random,20,20,1.25,0.0625,0.6959704441339161,0.6774044803904502,0.7138601445328979,0.19230866552244835,0.1716620367960243,0.21435016636430312,0.05303669627892944,0.05178778135987976,0.05444060867736599,0.3744651335047947,0.33955668946935236,0.40753874013336777
random,30,20,1.45,0.04833333333333333,0.6870111845087143,0.6639935216420988,0.7098156239070736,0.2084768235373214,0.1848334444034984,0.23317997893446024,0.05188119807810069,0.05047928322737721,0.05342395008280336,0.3751055091667822,0.331391435674027,0.41798855067641755
random,50,20,2.3,0.046000000000000006,0.6968830994176811,0.6729253129396209,0.7210911543733524,0.1993840599090356,0.17468508327729762,0.22565666876990736,0.051557389481172965,0.05001041018070296,0.05325805555846282,0.3890604434714205,0.3405567797204836,0.4390252119507211
random,75,20,3.95,0.05266666666666666,0.6996424297743337,0.68099075452893,0.7181968483923887,0.2094942087946297,0.1812526434296702,0.2400103632097743,0.05117101571130478,0.04964678966988305,0.05269915933496101,0.3998010964258738,0.36159401976399025,0.4375650269933754
random,100,20,5.3,0.05300000000000001,0.7049541068938856,0.6828426557503415,0.7272164859760389,0.20524093470807253,0.18060387563818264,0.23006055156091182,0.051479811843438764,0.05020660297976611,0.052848304310140225,0.40324595369921007,0.3581561451974512,0.44782626252433283
uncertainty,10,20,0.75,0.07500000000000001,0.6878781544894081,0.6694590861292644,0.7077489147191991,0.192775010851969,0.1707886084727329,0.2172854771745371,0.05503590839800755,0.053652036408894245,0.05649692129310594,0.3576143508280696,0.320793085511265,0.3965427100712639
uncertainty,20,20,1.05,0.05250000000000001,0.6891674469082827,0.6678803531828369,0.7096128086267276,0.1905357988732151,0.16637159109935062,0.2174570132091833,0.055053656584419755,0.0536187766023246,0.05658610768662957,0.3582825589134405,0.3184632987609328,0.39721465423837676
uncertainty,30,20,1.25,0.041666666666666664,0.6912018230208132,0.6693613869402452,0.7124917388488181,0.1902675244225984,0.1717611862607769,0.21037292316591152,0.054174865990951934,0.05286518571676453,0.055502556799699836,0.36701728151758095,0.3233135065692376,0.409657253969216
uncertainty,50,20,1.55,0.031000000000000007,0.6882385712246891,0.6688654533125372,0.7078324489941549,0.18618824787861601,0.1647535580682333,0.20943693926560894,0.05432117811848326,0.05295399410499392,0.05586394928414592,0.35426610982366413,0.3148681262284696,0.39304931032826607
uncertainty,75,20,1.95,0.025999999999999995,0.6905420248328558,0.6726062336208071,0.7085915840943628,0.19216993948418004,0.16879554732969307,0.21743161646727707,0.05340706417132224,0.051983572024964286,0.05487996266511836,0.35812099308910567,0.3224058121280334,0.3932122434530931
uncertainty,100,20,2.55,0.025500000000000005,0.7077464818552655,0.6869212659753491,0.7280988068184491,0.19123321761224496,0.1691196210061569,0.21485091709612597,0.05341730785516009,0.05210791045520731,0.054793889490088905,0.37405402340261207,0.335627072481541,0.41157528140390137
