rep,yontem,n_unlab,reg,reg_cl,auroc,prauc,egim,dom_once,dom_sonra
5,sinkhorn,492,0.05,,0.5073891625615764,0.07216142082393363,0.060943099204461566,0.9895081300813009,0.9630670731707318
5,sinkhorn,492,0.5,,0.4282635467980295,0.04980832932781558,-0.18306557599080966,0.9895081300813009,1.0
5,sinkhorn_l1l2,492,0.05,0.1,0.5221674876847291,0.06997365086919596,0.02482964641366109,0.9895081300813009,0.9970487804878049
5,sinkhorn_l1l2,492,0.05,1.0,0.5563423645320197,0.07630456877705238,0.08194340203656958,0.9895081300813009,0.9968089430894309
5,sinkhorn_l1l2,492,0.5,0.1,0.5049261083743843,0.0634221968542499,-0.017050813499453595,0.9895081300813009,0.9970894308943089
5,sinkhorn_l1l2,492,0.5,1.0,0.5163177339901478,0.08973479372143062,0.07492316708583217,0.9895081300813009,0.9967235772357723
5,svd_none,492,,,0.5120073891625616,0.13604371204040103,0.1596853141396916,0.9903577235772357,0.9903577235772357
5,sinkhorn,492,0.05,,0.5307881773399015,0.06465076694120749,0.027260946903315736,0.9903577235772357,0.9615873983739838
5,sinkhorn,492,0.5,,0.4956896551724138,0.0603877103268856,-0.009914019067474524,0.9903577235772357,0.9999918699186991
5,sinkhorn_l1l2,492,0.05,0.1,0.5095443349753694,0.07422447976915583,0.025427425051501508,0.9903577235772357,0.9967642276422763
5,sinkhorn_l1l2,492,0.05,1.0,0.5129310344827587,0.07679636040597769,0.03263775694081565,0.9903577235772357,0.9968252032520325
5,sinkhorn_l1l2,492,0.5,0.1,0.5815886699507389,0.08669766074407262,0.19339744457132713,0.9903577235772357,0.9968333333333332
5,sinkhorn_l1l2,492,0.5,1.0,0.5270935960591133,0.08156330296764847,0.07735894592005987,0.9903577235772357,0.996760162601626
6,raw6000,-1,,,0.7777093596059113,0.1478225453927574,0.4266192065706516,,
6,svd_none,100,,,0.6274630541871922,0.11252932835573976,0.29780932330547155,0.98282,0.98282
6,sinkhorn,100,0.05,,0.45905172413793105,0.05498449291237793,-0.1533335798923618,0.98282,0.92979
6,sinkhorn,100,0.5,,0.6099137931034483,0.08388356483333412,0.2789434358097782,0.98282,0.9998
6,sinkhorn_l1l2,100,0.05,0.1,0.6397783251231527,0.21753282262535423,0.3843343261376477,0.98282,0.9910399999999999
6,sinkhorn_l1l2,100,0.05,1.0,0.6733374384236452,0.1974035448379237,0.4904247281311279,0.98282,0.99096
6,sinkhorn_l1l2,100,0.5,0.1,0.645628078817734,0.214098890051455,0.47613383283673927,0.98282,0.99164
6,sinkhorn_l1l2,100,0.5,1.0,0.6105295566502463,0.20762224604553825,0.3665346312379926,0.98282,0.99052
6,svd_none,250,,,0.7490763546798029,0.2873398313750802,0.6339421873098342,0.986128,0.986128
6,sinkhorn,250,0.05,,0.5471059113300492,0.0821951952032641,0.14077814429891827,0.986128,0.95286
6,sinkhorn,250,0.5,,0.5969827586206897,0.08582569403001925,0.2253540169555541,0.986128,0.9997199999999999
6,sinkhorn_l1l2,250,0.05,0.1,0.6745689655172414,0.30803934364432195,0.5618411401715924,0.986128,0.997184
6,sinkhorn_l1l2,250,0.05,1.0,0.6360837438423645,0.27064058969236804,0.46512441682660927,0.986128,0.9972
6,sinkhorn_l1l2,250,0.5,0.1,0.667179802955665,0.3173060684405233,0.612046106903873,0.986128,0.997568
6,sinkhorn_l1l2,250,0.5,1.0,0.6825738916256158,0.340606381360716,0.6976807385197428,0.986128,0.9972479999999999
6,svd_none,492,,,0.6745689655172413,0.18146042659606504,0.3763593130832411,0.9906138211382114,0.9906138211382114
6,sinkhorn,492,0.05,,0.6637931034482758,0.10698388475760402,0.3898123806006398,0.9906138211382114,0.9677052845528455
6,sinkhorn,492,0.5,,0.563731527093596,0.07942734355869946,0.10023859343346092,0.9906138211382114,1.0
6,sinkhorn_l1l2,492,0.05,0.1,0.7025862068965517,0.1946377282782697,0.5664413658303131,0.9906138211382114,0.997650406504065
6,sinkhorn_l1l2,492,0.05,1.0,0.7330665024630543,0.17781022695771323,0.6872696139068,0.9906138211382114,0.9973943089430894
6,sinkhorn_l1l2,492,0.5,0.1,0.6724137931034483,0.15642261875350327,0.5032061118222269,0.9906138211382114,0.9974796747967479
6,sinkhorn_l1l2,492,0.5,1.0,0.6831896551724138,0.14516036905409774,0.5117207110597334,0.9906138211382114,0.9976219512195121
6,svd_none,492,,,0.6443965517241379,0.18177903346510094,0.3528157424521858,0.9899512195121951,0.9899512195121951
6,sinkhorn,492,0.05,,0.6259236453201971,0.10275206010597235,0.3244848294861521,0.9899512195121951,0.9654308943089431
6,sinkhorn,492,0.5,,0.563423645320197,0.07240852859103278,0.15654435952944906,0.9899512195121951,1.0
6,sinkhorn_l1l2,492,0.05,0.1,0.7062807881773399,0.18437342914883567,0.5563030188472604,0.9899512195121951,0.9981178861788618
6,sinkhorn_l1l2,492,0.05,1.0,0.7047413793103449,0.14643198630745594,0.5599737639372145,0.9899512195121951,0.9978333333333333
6,sinkhorn_l1l2,492,0.5,0.1,0.6862684729064039,0.19851786594663645,0.5720168121870678,0.9899512195121951,0.9981544715447155
6,sinkhorn_l1l2,492,0.5,1.0,0.708435960591133,0.17778363768642783,0.5842394730612115,0.9899512195121951,0.9980772357723577
7,raw6000,-1,,,0.7536945812807883,0.19471240069554724,0.44772934393173575,,
7,svd_none,100,,,0.7718596059113301,0.25926233517893027,0.5965152117291758,0.97748,0.97748
7,sinkhorn,100,0.05,,0.6730295566502463,0.19774497592142543,0.5739966902730365,0.97748,0.87401
7,sinkhorn,100,0.5,,0.45751231527093594,0.05331625019567064,-0.15067600127728786,0.97748,0.99984
