cift,hedef,metrik,strateji,n,deger,kaynak
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,local,25,0.151 [0.115-0.209],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,local,50,0.138 [0.118-0.158],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,local,100,0.153 [0.131-0.176],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,local,200,0.208 [0.179-0.238],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,local,500,0.306 [0.281-0.337],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,pooled,25,0.480 [0.462-0.506],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,pooled,50,0.485 [0.473-0.498],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,pooled,100,0.492 [0.476-0.507],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,pooled,200,0.506 [0.495-0.517],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,prauc,pooled,500,0.515 [0.501-0.529],0.457 [0.443-0.471]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,recal,25,0.762 [0.747-0.778],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,recal,50,0.703 [0.586-0.771],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,recal,100,0.760 [0.746-0.773],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,recal,200,0.760 [0.746-0.772],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,recal,500,0.760 [0.746-0.772],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,finetune,25,0.723 [0.693-0.748],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,finetune,50,0.727 [0.712-0.740],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,finetune,100,0.732 [0.722-0.745],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,finetune,200,0.731 [0.722-0.741],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,finetune,500,0.734 [0.722-0.746],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,local,25,0.581 [0.543-0.627],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,local,50,0.558 [0.522-0.591],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,local,100,0.586 [0.555-0.615],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,local,200,0.633 [0.612-0.654],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,local,500,0.680 [0.666-0.693],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,pooled,25,0.766 [0.756-0.781],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,pooled,50,0.774 [0.762-0.785],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,pooled,100,0.774 [0.762-0.787],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,pooled,200,0.776 [0.766-0.787],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,auroc,pooled,500,0.769 [0.761-0.776],0.760 [0.746-0.773]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,recal,25,1.052 [0.529-1.575],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,recal,50,-19.854 [-62.059-1.502],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,recal,100,1.214 [0.811-1.674],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,recal,200,1.128 [0.954-1.333],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,recal,500,1.028 [0.948-1.104],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,finetune,25,0.456 [0.342-0.566],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,finetune,50,0.469 [0.428-0.503],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,finetune,100,0.468 [0.420-0.514],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,finetune,200,0.333 [0.272-0.401],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,finetune,500,0.308 [0.238-0.381],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,local,25,0.169 [0.061-0.314],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,local,50,0.132 [0.043-0.214],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,local,100,0.185 [0.116-0.254],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,local,200,0.328 [0.259-0.404],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,local,500,0.408 [0.366-0.456],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,pooled,25,0.737 [0.696-0.787],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,pooled,50,0.738 [0.707-0.763],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,pooled,100,0.739 [0.710-0.768],0.688 [0.662-0.715]
