rep,scenario,budget_fraction,adapt_n,adapt_pos,test_n,test_pos,auroc,prauc,brier,slope,n,positives,prevalence
1,source_plus_target,1.0,369,20,369,21,0.7781882868089764,0.30926683741295363,0.05128527398013169,0.5724871631168933,369,21,0.056910569105691054
2,source_only,0.0,0,0,369,21,0.6284893267651889,0.11680010254805104,0.06296282103370747,0.2203210602120366,369,21,0.056910569105691054
2,target_only,0.01,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.332091345660095,369,21,0.056910569105691054
2,source_plus_target,0.01,10,2,369,21,0.5879857690202517,0.11710381925470018,0.061120633013101194,0.18536708689143963,369,21,0.056910569105691054
2,target_only,0.025,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.332091345660095,369,21,0.056910569105691054
2,source_plus_target,0.025,10,2,369,21,0.6195949644225506,0.13381549917918817,0.05933808527608445,0.22199073623953033,369,21,0.056910569105691054
2,target_only,0.05,18,2,369,21,0.5,0.056910569105691054,0.056609454983438744,1.096527438594909,369,21,0.056910569105691054
2,source_plus_target,0.05,18,2,369,21,0.6507936507936507,0.15384828345719945,0.05748203634606822,0.28424845022932654,369,21,0.056910569105691054
2,target_only,0.1,37,3,369,21,0.5,0.056910569105691054,0.05425596987890988,0.9885797284578339,369,21,0.056910569105691054
2,source_plus_target,0.1,37,3,369,21,0.6107006020799124,0.1275212558586965,0.056616357652201375,0.2302678466224879,369,21,0.056910569105691054
2,target_only,0.2,74,6,369,21,0.47208538587848925,0.07597450112940055,0.05684134232939129,-0.021965949976581856,369,21,0.056910569105691054
2,source_plus_target,0.2,74,6,369,21,0.6253420908593322,0.1506410071065899,0.055604079125344076,0.25023943751469097,369,21,0.056910569105691054
2,target_only,0.5,184,10,369,21,0.5119047619047619,0.07228927531364349,0.05690028294001653,0.015886397665398386,369,21,0.056910569105691054
2,source_plus_target,0.5,184,10,369,21,0.6592775041050902,0.19210848705656755,0.053803616534033406,0.3162195565962651,369,21,0.056910569105691054
2,target_only,1.0,369,20,369,21,0.6282156540777231,0.10292244355128732,0.056902065481586994,0.286900965334844,369,21,0.056910569105691054
2,source_plus_target,1.0,369,20,369,21,0.6826765188834154,0.2032417943424715,0.05220904831773423,0.4102986790458757,369,21,0.056910569105691054
3,source_only,0.0,0,0,369,21,0.736863711001642,0.307535041799326,0.05271208587587741,0.46489838405105965,369,21,0.056910569105691054
3,target_only,0.01,10,2,369,21,0.5,0.056910569105691054,0.07414634146341464,1.332091345660095,369,21,0.056910569105691054
3,source_plus_target,0.01,10,2,369,21,0.7605363984674328,0.2599852808494816,0.054850453332265896,0.4744010204179608,369,21,0.056910569105691054
3,target_only,0.025,10,2,369,21,0.5,0.056910569105691054,0.07414634146341464,1.332091345660095,369,21,0.056910569105691054
3,source_plus_target,0.025,10,2,369,21,0.7089490968801313,0.2711589142055191,0.052557530758528016,0.4442975473354762,369,21,0.056910569105691054
3,target_only,0.05,18,3,369,21,0.5,0.056910569105691054,0.06571815718157181,1.2585969368450762,369,21,0.056910569105691054
3,source_plus_target,0.05,18,3,369,21,0.7624521072796935,0.2940987400742334,0.05145355633155004,0.5102140967013402,369,21,0.056910569105691054
3,target_only,0.1,37,2,369,21,0.5,0.056910569105691054,0.053679915907997644,0.874238190536219,369,21,0.056910569105691054
3,source_plus_target,0.1,37,2,369,21,0.7296113847837986,0.23050134545587161,0.04961149026653927,0.4776031340567418,369,21,0.056910569105691054
