rep,strateji,n,auroc,prauc,brier,egim
7,recal,1000,0.6356,0.263,0.0487,0.9317
7,finetune,1000,0.5491,0.0705,0.1588,0.0125
7,local,1000,0.6312,0.1475,0.0535,0.5923
7,pooled,1000,0.6504,0.2676,0.0527,0.5184
8,source,0,0.7199,0.3569,0.0506,0.641
8,recal,50,0.7199,0.3569,0.0587,0.5767
8,finetune,50,0.6711,0.1177,0.1178,0.0719
8,local,50,0.4985,0.0606,0.0576,-0.0065
8,pooled,50,0.6937,0.3554,0.0515,0.5859
8,recal,100,0.7199,0.3569,0.0542,15.0216
8,finetune,100,0.6825,0.1551,0.0863,0.0524
8,local,100,0.6866,0.1263,0.0576,0.5026
8,pooled,100,0.7407,0.3763,0.0521,0.6733
8,recal,200,0.7199,0.3569,0.0498,2.5975
8,finetune,200,0.4759,0.054,0.1921,-0.0127
8,local,200,0.5505,0.0705,0.0576,0.0923
8,pooled,200,0.6732,0.3063,0.051,0.5771
8,recal,500,0.7199,0.3569,0.0508,2.6688
8,finetune,500,0.5938,0.0968,0.1357,0.0324
8,local,500,0.6141,0.1052,0.0576,0.3935
8,pooled,500,0.7242,0.3435,0.0513,0.6518
8,recal,1000,0.7199,0.3569,0.0493,2.2551
8,finetune,1000,0.541,0.0715,0.1586,0.0182
8,local,1000,0.6297,0.1409,0.0576,0.3955
8,pooled,1000,0.7037,0.3188,0.0515,0.5899
9,source,0,0.576,0.1918,0.0539,0.3273
9,recal,50,0.576,0.1918,0.0541,0.4477
9,finetune,50,0.5589,0.0728,0.112,0.0067
9,local,50,0.5879,0.1028,0.0562,0.1725
9,pooled,50,0.5949,0.209,0.054,0.3699
9,recal,100,0.576,0.1918,0.0508,0.4187
9,finetune,100,0.5484,0.0656,0.1939,0.0036
9,local,100,0.6507,0.133,0.0567,0.3689
9,pooled,100,0.5836,0.2292,0.0546,0.3638
9,recal,200,0.576,0.1918,0.0514,0.4026
9,finetune,200,0.5564,0.0897,0.0947,0.044
9,local,200,0.5789,0.1116,0.0565,0.1827
9,pooled,200,0.5899,0.2114,0.0535,0.348
9,recal,500,0.576,0.1918,0.051,0.7044
9,finetune,500,0.5468,0.0648,0.1372,0.0006
9,local,500,0.5856,0.13,0.0566,0.3234
9,pooled,500,0.5537,0.2085,0.0538,0.3326
9,recal,1000,0.576,0.1918,0.0507,0.5512
9,finetune,1000,0.534,0.0744,0.1139,0.0286
9,local,1000,0.5928,0.152,0.0567,0.2677
9,pooled,1000,0.6068,0.2112,0.0536,0.3942
