rep,strateji,n,auroc,prauc,brier,egim
8,local,400,0.7165,0.5156,0.1796,0.4258
8,pooled,400,0.8429,0.7094,0.107,0.8387
9,source,0,0.8168,0.7062,0.1088,0.7381
9,recal,25,0.8168,0.7062,0.1079,1.1547
9,finetune,25,0.8065,0.6773,0.1262,0.6039
9,local,25,0.5843,0.313,0.199,0.1398
9,pooled,25,0.8121,0.6977,0.1104,0.706
9,recal,50,0.8168,0.7062,0.1093,0.9601
9,finetune,50,0.8075,0.6701,0.1197,0.5859
9,local,50,0.5786,0.2726,0.1976,0.1469
9,pooled,50,0.8199,0.7049,0.1078,0.738
9,recal,100,0.8168,0.7062,0.1072,1.012
9,finetune,100,0.8259,0.7108,0.13,0.6964
9,local,100,0.5731,0.3145,0.2097,0.1578
9,pooled,100,0.818,0.7011,0.1104,0.7181
9,recal,200,0.8168,0.7062,0.1087,0.998
9,finetune,200,0.8145,0.6805,0.1197,0.6124
9,local,200,0.7291,0.4772,0.1838,0.5716
9,pooled,200,0.8196,0.7019,0.1092,0.7432
9,recal,400,0.8168,0.7062,0.1075,0.9392
9,finetune,400,0.819,0.7191,0.1094,0.7316
9,local,400,0.7785,0.6011,0.167,0.5612
9,pooled,400,0.8084,0.7043,0.1077,0.7233
