mz,E.coli-Cipr,E.coli-Ceft,K.pneum-Ceft,S.aureu-Oxac,P.aerug-Cipr
2078.0,0.00013216258351278964,0.00018017520698233075,0.00014376396870529096,0.00013866164986905548,0.0004259497837521859
2081.0,4.8980511298398994e-05,0.0,4.896574518946371e-05,0.0010854874649077859,0.0010776484673050905
2084.0,0.00036909896742943164,0.000978867041031022,0.00029242522356217644,0.0023116800703762664,0.0012013086973497933
2087.0,0.0005234687073159472,0.0003502761723643583,7.361650781638381e-05,0.0,1.5616730005660275e-05
2090.0,0.0003852787388860172,0.0002352816652258119,8.16399730459862e-05,0.00015528624139743975,0.0001911587552971138
2093.0,2.4519564158253225e-05,0.0002189586995986564,7.8027196771055e-06,0.0,0.00023580024091413392
2096.0,3.037448037683483e-05,0.0,3.811964531336936e-05,0.0,0.0005045769888677678
2099.0,0.00011424139068693691,0.0002518103866369764,0.00012881664272852174,0.0007384363375748178,7.04575710778993e-05
2102.0,6.805962413990234e-05,0.00047467004292534964,4.923973160385824e-06,0.0011039840206965473,0.0
2105.0,0.0002457587443642231,0.0,6.963978018997311e-05,0.001565289277183352,0.0006345187813303904
2108.0,0.00017255254699873304,0.0,0.0005375988563573494,0.0008602566844349322,2.677570940184231e-05
2111.0,2.1414863611760174e-06,0.0,8.546003702734411e-05,0.0,8.475149893328189e-05
2114.0,0.00011077618892942396,0.00015714254515183156,9.00218668203349e-05,0.0,0.00018241405677178388
2117.0,0.0003508953973906166,0.0,3.210712650720781e-06,0.0,1.0256927021649422e-05
2120.0,0.00012981113762802282,7.403532441571793e-05,6.286321249802838e-05,0.000378867167990247,0.00012819909603173086
2123.0,6.784910781233819e-05,0.0,0.0005273222077842504,0.001809013609304697,0.000816785868474226
2126.0,5.3060879566122034e-05,0.0007356660395209473,0.0005115779879710361,0.0,0.0
2129.0,0.00014883518139321994,1.34367308407837e-05,9.297057116639066e-05,0.0,0.0007780822665036446
2132.0,0.000636375503077351,0.0011749989337945985,0.0004807968178074144,0.0,0.00038825376346781883
2135.0,0.005084070305303524,0.014689574435186445,0.02195776569695179,0.0017937951959677901,0.0008524771442126905
2138.0,0.0016499682869308922,0.007643137794625703,0.01145439808239351,8.508281527788963e-05,0.0
2141.0,0.00027782511887902,0.00023124776896669172,0.0002975033034122237,0.0,7.651473707578091e-05
2144.0,0.0003561745743530107,0.0,2.5769328781141957e-05,0.0,0.00018965078870483338
2147.0,1.6266621262517918e-05,0.0,0.0004112859056447125,0.0,0.00045833536449001346
2150.0,0.0008848939072320408,0.017663567563740653,0.003341002867563768,0.00047195287396628285,2.1405867916223014e-05
2153.0,0.004320080053078373,0.0273413269192709,0.019459972617219146,0.0,5.153366204943602e-05
2156.0,3.2846065678151066e-05,0.0002933699286072278,0.00015549931855047817,6.025892000849967e-05,2.022907750359255e-05
2159.0,7.610583830142013e-05,0.0003321567262036598,0.00046032992941209453,0.0006857119047091729,5.435770951640372e-05
2162.0,0.0002947388632881752,0.002716950959649031,3.797744983852094e-05,0.02629951259877872,0.00021075744377796528
2165.0,0.0003173796125642696,0.0026736494029693603,0.0004275356619263925,0.011457986024334442,0.0020300965085035703
2168.0,5.9870422850760985e-05,0.0008559498554238276,0.0009416448765131631,0.0006153718276254474,0.0001575698175546159
2171.0,3.716645730225678e-05,0.0006792204157398015,0.0021554173813522447,0.0,0.0002879853193299547
2174.0,0.0004440285304397466,0.0,2.3784257882944324e-06,0.0,0.0
2177.0,4.726574395732081e-05,0.0,0.00029020866663447806,0.0,0.0001352069539974184
2180.0,3.31577062620759e-05,0.0,7.439474376886794e-05,0.0019628245648117396,0.00010524958931092155
2183.0,0.00025140869086780015,6.152667043321737e-05,0.0006181359681455906,0.0,0.0001673211898937762
2186.0,0.0003781720352195008,0.009159680519551955,0.0016354061439047222,0.0,0.0
2189.0,0.0001454858481690276,0.0,0.00010832587473089196,0.0020496128194737494,1.763958481252604e-05
2192.0,0.0005414161472537569,0.0003858690198240218,1.9748652472550786e-05,0.0025997765752680323,0.0
2195.0,1.2764235780025903e-05,0.0,9.396335411490872e-05,0.00029129689249598724,0.0
2198.0,0.0003333089754486125,0.00023654293988523291,9.274176778642107e-05,0.0,0.0
2201.0,0.0002991416842009923,0.0005663025695984026,0.000150164727703027,0.0,0.0006506053135888196
2204.0,0.0003132906866414809,0.00041149615056484793,0.00020057166723556834,0.00019269097364642846,0.002675030680223437
2207.0,9.382663908324334e-05,5.1622489591632075e-05,3.7040664689444826e-06,0.0001517578626137928,0.00013403941123706406
2210.0,0.00012415517798897505,0.0004322500664363725,4.6792478708195055e-05,0.0,0.0
2213.0,0.0001993847994613307,2.7548163759172338e-05,8.418618311100245e-06,0.0003519821010779127,4.232096757876213e-05
