rep,strateji,n,auroc,prauc,brier,egim
7,recal,200,0.7481,0.4377,0.0723,0.9846
7,finetune,200,0.7308,0.319,0.0899,0.2929
7,local,200,0.6288,0.198,0.099,0.3099
7,pooled,200,0.7632,0.507,0.0747,0.7274
7,recal,500,0.7481,0.4377,0.072,0.9034
7,finetune,500,0.7221,0.2515,0.1074,0.2393
7,local,500,0.654,0.293,0.0953,0.486
7,pooled,500,0.7638,0.4761,0.0755,0.7132
8,source,0,0.7457,0.4329,0.0764,0.6575
8,recal,50,0.7457,0.4329,0.0738,1.0107
8,finetune,50,0.7324,0.4127,0.0826,0.4583
8,local,50,0.6124,0.1884,0.0986,0.3209
8,pooled,50,0.7724,0.4824,0.0756,0.7662
8,recal,100,0.7457,0.4329,0.0778,1.9497
8,finetune,100,0.7314,0.3326,0.0872,0.3776
8,local,100,0.5654,0.1416,0.099,0.1573
8,pooled,100,0.7594,0.4617,0.076,0.6925
8,recal,200,0.7457,0.4329,0.0731,1.0146
8,finetune,200,0.7045,0.2932,0.0908,0.3173
8,local,200,0.6189,0.1752,0.0986,0.2911
8,pooled,200,0.7736,0.4862,0.0755,0.7505
8,recal,500,0.7457,0.4329,0.0727,0.9498
8,finetune,500,0.704,0.261,0.0997,0.2332
8,local,500,0.6768,0.2757,0.0949,0.4414
8,pooled,500,0.7736,0.5075,0.0738,0.7069
9,source,0,0.7905,0.4703,0.0734,0.7523
9,recal,50,0.7905,0.4703,0.0754,1.1116
9,finetune,50,0.7429,0.4424,0.0758,0.4723
9,local,50,0.6152,0.2003,0.092,0.1923
9,pooled,50,0.7984,0.4977,0.0712,0.7873
9,recal,100,0.7905,0.4703,0.0763,2.1236
9,finetune,100,0.7417,0.3259,0.0856,0.4138
9,local,100,0.5185,0.1065,0.0989,0.0478
9,pooled,100,0.8065,0.4934,0.0722,0.8426
9,recal,200,0.7905,0.4703,0.0709,1.3586
9,finetune,200,0.7426,0.3201,0.0885,0.2941
9,local,200,0.5926,0.1627,0.0992,0.2919
9,pooled,200,0.809,0.502,0.0732,0.7906
9,recal,500,0.7905,0.4703,0.0699,1.199
9,finetune,500,0.7624,0.2913,0.1003,0.167
9,local,500,0.6538,0.2374,0.0963,0.3956
9,pooled,500,0.7671,0.5212,0.0695,0.7129
